#timestamp x y z q_x q_y q_z q_w
1711868939.133940 0.001296020265716 0.001528552531966 -0.001799274546708 0.000033327620289 -0.000024894402272 -0.000141289661863 0.999999989153384
1711868939.227272 0.000658082572435 -0.001484668706434 -0.000997866574119 -0.000029152469209 -0.000009857246877 -0.000085915084533 0.999999995835781
1711868939.330826 0.000221247434329 -0.001306168604728 0.000048401868296 -0.000060500528297 -0.000064828332064 -0.000055456914394 0.999999994530751
1711868939.428786 0.000108596176051 -0.001941860823946 0.000200560988247 -0.000094012367722 0.000062115480684 -0.000007659435423 0.999999993622336
1711868939.529855 0.000523684160177 -0.000570480359682 -0.000028625744531 -0.000364843315129 0.000138774771625 0.000017077855706 0.999999923669628
1711868939.627782 -0.000041440866834 -0.001872681615842 0.000023274287398 -0.000131605002941 0.000017070273224 -0.000144957867719 0.999999980687971
1711868939.731820 -0.000044440267341 -0.002349754844355 -0.000633007417903 -0.000105364190370 0.000068792280732 -0.000419242053484 0.999999904201049
1711868939.829544 0.001336411978844 0.000450137343383 -0.000681151148683 -0.000425399683104 0.000262422252066 -0.000066963440238 0.999999872842776
1711868939.930116 0.001287438065177 0.000867780686937 -0.000521765337414 -0.000341122263889 0.000148582974468 -0.000107209576490 0.999999925032401
1711868940.026956 0.001139518903391 0.000296109215281 -0.000419630721055 -0.000171813913613 0.000080644755386 -0.000056375845533 0.999999980399083
1711868940.126556 0.000090234882640 0.000506031541306 -0.000168186090600 -0.000145578825475 -0.000045263278115 -0.000056788563519 0.999999986766550
1711868940.233961 0.001611077348610 0.002227671824737 -0.000267230468094 -0.000212406267602 0.000026187724167 -0.000137040620036 0.999999967708824
1711868940.326229 0.000712771608726 -0.000008542923872 -0.000500970286991 -0.000030709813099 0.000000932530866 -0.000152588202923 0.999999987886439
1711868940.427918 0.000456991936120 -0.000683699367037 -0.000139453894230 -0.000073128089461 0.000113381083266 0.000049097357635 0.999999989693232
1711868940.526879 0.000474895592861 -0.000322613463272 -0.000475140216684 -0.000037383973891 -0.000011092642186 -0.000068160462762 0.999999996916773
1711868940.639019 0.000227274018092 -0.000090409265161 -0.000500887611752 -0.000043466232996 -0.000002768169930 -0.000062130193900 0.999999997121432
1711868940.728059 0.000423595508284 0.000032748218869 -0.000283583364275 -0.000008504622931 -0.000009169299699 -0.000081424481525 0.999999996606825
1711868940.831711 0.000555555187811 0.000542450451697 -0.000679743906178 -0.000106371370540 -0.000015991020323 -0.000080604715607 0.999999990966150
1711868940.945692 0.000059637343979 0.000231208495996 0.000085660621631 -0.000075480544547 0.000007773196976 -0.000058923996766 0.999999995385114
1711868941.027661 0.000055531466960 -0.000498987976876 0.000149603493633 -0.000025139208008 -0.000008927081544 -0.000103772794660 0.999999994259768
1711868941.126871 0.000396068486368 0.000095409327068 -0.000102792848340 -0.000046777601767 0.000009515707159 -0.000043852534379 0.999999997899132
1711868941.228565 0.001007081804244 -0.000429603180645 -0.000391569824438 -0.000046635711235 0.000013881743504 -0.000052115758885 0.999999997458179
1711868941.324293 0.000352574604707 -0.000913733191266 -0.000535533956656 -0.000011795950335 -0.000014952039988 -0.000032515469825 0.999999999290018
1711868941.423354 0.000686605519204 -0.000398678657456 -0.000460373120234 -0.000048770687213 -0.000010730000503 -0.000069941182086 0.999999996307260
1711868941.523500 0.000777124518984 -0.000502138651831 -0.000378775097495 -0.000055804372947 -0.000006313955061 -0.000052856247234 0.999999997026112
1711868941.623030 0.000806292744142 -0.000719228601556 -0.000385327634995 -0.000019246703163 -0.000008278289431 -0.000029628911463 0.999999999341582
1711868941.723065 0.000930922341460 0.000765134221791 -0.000635130940733 -0.000075291465351 -0.000043112502562 -0.000079813416656 0.999999993051164
1711868941.822556 0.000948549920751 0.000749162251831 -0.000767591256899 -0.000043872168739 -0.000013579638464 -0.000086755189940 0.999999995182183
1711868941.921830 0.000755474440987 0.000520133697323 -0.000602451586086 -0.000052141071117 -0.000035087004176 -0.000077635013586 0.999999995011510
1711868942.021859 0.000874475214182 -0.000216211657708 -0.000619937573232 -0.000031808429526 0.000044493983748 -0.000077312307684 0.999999995515660
1711868942.128533 0.000987876997136 -0.000453518459527 -0.000543727643739 -0.000044251632113 -0.000026281074795 -0.000058434114029 0.999999996968279
1711868942.224712 0.000638608096414 -0.000706218200185 -0.000493933583751 -0.000010448507695 -0.000023868296816 -0.000132112547761 0.999999990933706
1711868942.343223 -0.000163824404173 -0.001248626343454 -0.000614830341338 -0.000004697145688 -0.000015158841502 -0.000082466866498 0.999999996473684
1711868942.421164 -0.000104954135083 -0.001088632330686 -0.000440434616954 -0.000008482563570 -0.000012576208484 -0.000042334720779 0.999999998988831
1711868942.522887 -0.000002228842949 -0.000682764145193 -0.000444819280543 -0.000058046942729 -0.000011207754214 -0.000071036698470 0.999999995729366
1711868942.637103 0.000621712808019 -0.000014434672837 -0.000526215867346 -0.000055033340066 0.000000959165683 -0.000085317577526 0.999999994845664
1711868942.729792 0.001116668142314 -0.000850928953902 -0.000427539452319 -0.000005824852626 -0.000017832674713 -0.000091329909779 0.999999995653459
1711868942.823504 0.001062135619895 -0.001163048548384 -0.000605197321276 -0.000027096918494 -0.000000647035486 -0.000053792463870 0.999999998185857
1711868942.924964 0.001097359573769 -0.001454045627952 -0.000689067285023 -0.000020863647128 0.000003755152796 -0.000064916834686 0.999999997668208
1711868943.025362 0.001188306755578 -0.001269729140905 -0.000668657553237 -0.000044977831043 -0.000013812753456 -0.000046091777761 0.999999997830877
1711868943.124940 0.000848014562539 -0.000942690260828 -0.000338792180836 -0.000025825985175 -0.000047937795241 -0.000104770344656 0.999999993029082
1711868943.228284 0.000513365808610 -0.001244738461036 -0.000198787719208 -0.000005440769317 -0.000017724761806 -0.000043502843856 0.999999998881868
1711868943.326276 0.000261092260687 -0.001221264182692 -0.000061934604653 -0.000028857422751 -0.000036335996175 -0.000072438711666 0.999999996299790
1711868943.427416 0.000355908524644 -0.001374069800133 0.000024847725616 0.000014004808797 0.000036323752591 -0.000048539048615 0.999999998064208
1711868943.525284 -0.000404927554032 -0.001225152681891 -0.000212665414624 -0.000024962683675 -0.000010696724017 -0.000033114934579 0.999999999082925
